date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2019-07-15,Maize flour - Retail,KG,cereals and tubers,2100.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2019-08-15,Maize flour - Retail,KG,cereals and tubers,2000.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2019-09-15,Maize flour - Retail,KG,cereals and tubers,1900.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2019-10-15,Maize flour - Retail,KG,cereals and tubers,1800.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2019-11-15,Maize flour - Retail,KG,cereals and tubers,1950.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2019-12-15,Maize flour - Retail,KG,cereals and tubers,1950.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2020-01-15,Maize flour - Retail,KG,cereals and tubers,2100.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2020-02-15,Maize flour - Retail,KG,cereals and tubers,2150.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2018-10-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2018-11-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2019-01-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2019-02-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2019-03-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2019-04-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2019-05-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2019-06-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2019-07-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2019-08-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2019-09-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2019-10-15,Oil (vegetable) - Retail,L,oil and fats,5250.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2019-11-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2019-12-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2020-01-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2020-02-15,Oil (vegetable) - Retail,L,oil and fats,5000.0,UGX,Uganda,Abim,743,Makaratin,2343,96,15,15,6,2343_96_15_15,
2018-10-15,Beans - Retail,KG,pulses and nuts,2000.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
2018-11-15,Beans - Retail,KG,pulses and nuts,3000.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
2018-12-15,Beans - Retail,KG,pulses and nuts,3500.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
2019-01-15,Beans - Retail,KG,pulses and nuts,2200.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
2019-02-15,Beans - Retail,KG,pulses and nuts,2475.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
2019-04-15,Beans - Retail,KG,pulses and nuts,3500.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
2019-05-15,Beans - Retail,KG,pulses and nuts,3500.0,UGX,Uganda,Amudat,744,Karita,2346,50,15,5,5,2346_50_15_5,
